StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,SPCMIN,SPCMAX,SPEC,,SPC,SPEC,RawUp,RawDown,RawUpSTATUS,RawDownSTATUS,RawUpGT,RawDownGT,
20181103-153935,20181103-153935,NONE,,0.00,CORR TEST START,,,SPC,SPC MIN,SPC MAX,SPEC,,SPC,SPCMIN,SPCMAX,SPEC,RawUp,RawDown,RawUpSTATUS,RawDownSTATUS,RawUpGT,RawDownGT,
20181103-153906,20181103-153953,NG,|下表面轮廓度 -6.150 超差|,46.86,,A117NoFin,LeftStation,SPC,-10.656,0.131,0.013,-6.150,-0.021,5.284,SPC MIN,-10.656,-10.598,-0.008,-6.150,-0.045,5.122,SPC MAX,-10.449,-10.467,0.005,-5.996,-0.021,5.284,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.656,0.131,0.013,-6.150,-0.021,5.284,SPCMIN,-10.656,-10.598,-0.008,-6.150,-0.045,5.122,SPCMAX,-10.449,-10.467,0.005,-5.996,-0.021,5.284,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.434,-10.484,-10.499,-10.499,-10.357,-10.391,-10.377,-10.381,RawDown,5.364,5.317,5.307,5.294,-5.996,-5.982,-5.916,0.064,0.093,0.072,0.087,0.059,-5.952,0.024,0.066,0.083,-5.905,0.055,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.505,2.564,2.449,2.440,2.402,2.441,2.350,2.350,RawDownGT,2.187,2.186,1.911,1.850,2.433,2.486,2.624,2.117,2.676,2.685,2.683,2.140,2.699,2.202,2.707,2.712,2.707,2.205,
20181103-154000,20181103-154045,NG,|下表面轮廓度 -6.142 超差|,45.49,,A117NoFin,LeftStation,SPC,-10.650,0.121,0.013,-6.142,-0.017,5.284,SPC MIN,-10.650,-10.593,-0.008,-6.142,-0.041,5.135,SPC MAX,-10.451,-10.472,0.006,-5.994,-0.017,5.284,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.650,0.121,0.013,-6.142,-0.017,5.284,SPCMIN,-10.650,-10.593,-0.008,-6.142,-0.041,5.135,SPCMAX,-10.451,-10.472,0.006,-5.994,-0.017,5.284,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.434,-10.485,-10.499,-10.499,-10.360,-10.393,-10.377,-10.382,RawDown,5.366,5.313,5.308,5.300,-5.993,-5.984,-5.916,0.067,0.092,0.073,0.088,0.067,-5.953,0.014,0.067,0.085,-5.902,0.055,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.504,2.565,2.449,2.440,2.405,2.443,2.350,2.351,RawDownGT,2.189,2.183,1.912,1.856,2.436,2.484,2.624,2.120,2.675,2.686,2.684,2.148,2.698,2.192,2.709,2.714,2.710,2.206,
20181103-154049,20181103-154135,NG,|下表面轮廓度 -6.138 超差|,46.36,,A117NoFin,LeftStation,SPC,-10.646,0.116,0.012,-6.138,-0.016,5.286,SPC MIN,-10.646,-10.588,-0.007,-6.138,-0.043,5.140,SPC MAX,-10.449,-10.472,0.005,-5.994,-0.016,5.286,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.646,0.116,0.012,-6.138,-0.016,5.286,SPCMIN,-10.646,-10.588,-0.007,-6.138,-0.043,5.140,SPCMAX,-10.449,-10.472,0.005,-5.994,-0.016,5.286,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.434,-10.485,-10.500,-10.499,-10.356,-10.391,-10.376,-10.380,RawDown,5.369,5.327,5.310,5.301,-5.992,-5.984,-5.916,0.066,0.092,0.074,0.088,0.067,-5.954,0.013,0.068,0.085,-5.902,0.053,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.505,2.565,2.450,2.440,2.401,2.441,2.349,2.349,RawDownGT,2.192,2.197,1.913,1.858,2.437,2.484,2.624,2.119,2.675,2.687,2.684,2.148,2.697,2.191,2.709,2.714,2.710,2.204,
20181103-154138,20181103-154224,NG,|下表面轮廓度 -6.142 超差|,46.35,,A117NoFin,LeftStation,SPC,-10.651,0.125,0.013,-6.142,-0.016,5.287,SPC MIN,-10.651,-10.594,-0.007,-6.142,-0.042,5.134,SPC MAX,-10.447,-10.469,0.005,-5.994,-0.016,5.287,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.651,0.125,0.013,-6.142,-0.016,5.287,SPCMIN,-10.651,-10.594,-0.007,-6.142,-0.042,5.134,SPCMAX,-10.447,-10.469,0.005,-5.994,-0.016,5.287,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.437,-10.484,-10.497,-10.499,-10.362,-10.391,-10.376,-10.380,RawDown,5.365,5.321,5.311,5.301,-5.993,-5.984,-5.916,0.064,0.090,0.072,0.087,0.067,-5.955,0.010,0.065,0.082,-5.905,0.050,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.508,2.564,2.447,2.440,2.407,2.441,2.349,2.348,RawDownGT,2.188,2.190,1.915,1.857,2.436,2.484,2.624,2.117,2.673,2.684,2.683,2.148,2.696,2.188,2.706,2.711,2.707,2.200,
20181103-154227,20181103-154313,NG,|下表面轮廓度 -6.142 超差|,46.49,,A117NoFin,LeftStation,SPC,-10.649,0.121,0.014,-6.142,-0.017,5.284,SPC MIN,-10.649,-10.592,-0.008,-6.142,-0.043,5.137,SPC MAX,-10.449,-10.471,0.006,-5.994,-0.017,5.284,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.649,0.121,0.014,-6.142,-0.017,5.284,SPCMIN,-10.649,-10.592,-0.008,-6.142,-0.043,5.137,SPCMAX,-10.449,-10.471,0.006,-5.994,-0.017,5.284,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.438,-10.486,-10.498,-10.499,-10.357,-10.393,-10.378,-10.381,RawDown,5.365,5.318,5.309,5.299,-5.995,-5.984,-5.917,0.065,0.091,0.072,0.088,0.066,-5.956,0.011,0.067,0.085,-5.903,0.049,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.509,2.566,2.448,2.440,2.402,2.443,2.351,2.349,RawDownGT,2.188,2.187,1.913,1.856,2.434,2.484,2.623,2.118,2.674,2.685,2.684,2.147,2.695,2.189,2.708,2.713,2.709,2.200,
20181103-154316,20181103-154402,NG,|下表面轮廓度 -6.145 超差|,46.30,,A117NoFin,LeftStation,SPC,-10.653,0.126,0.012,-6.145,-0.019,5.288,SPC MIN,-10.653,-10.596,-0.007,-6.145,-0.043,5.132,SPC MAX,-10.448,-10.470,0.005,-5.993,-0.019,5.288,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.653,0.126,0.012,-6.145,-0.019,5.288,SPCMIN,-10.653,-10.596,-0.007,-6.145,-0.043,5.132,SPCMAX,-10.448,-10.470,0.005,-5.993,-0.019,5.288,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.435,-10.485,-10.498,-10.499,-10.356,-10.392,-10.379,-10.380,RawDown,5.367,5.317,5.309,5.300,-5.994,-5.985,-5.916,0.065,0.092,0.074,0.088,0.066,-5.954,0.012,0.066,0.084,-5.903,0.051,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.505,2.565,2.449,2.440,2.401,2.442,2.352,2.349,RawDownGT,2.190,2.187,1.913,1.857,2.435,2.483,2.624,2.118,2.675,2.686,2.684,2.147,2.697,2.190,2.708,2.712,2.709,2.202,
20181103-154404,20181103-154450,NG,|下表面轮廓度 -6.143 超差|,46.35,,A117NoFin,LeftStation,SPC,-10.652,0.125,0.013,-6.143,-0.011,5.286,SPC MIN,-10.652,-10.596,-0.007,-6.143,-0.041,5.136,SPC MAX,-10.451,-10.471,0.006,-5.993,-0.011,5.286,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.652,0.125,0.013,-6.143,-0.011,5.286,SPCMIN,-10.652,-10.596,-0.007,-6.143,-0.041,5.136,SPCMAX,-10.451,-10.471,0.006,-5.993,-0.011,5.286,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.433,-10.484,-10.498,-10.499,-10.359,-10.394,-10.379,-10.381,RawDown,5.367,5.316,5.323,5.304,-5.992,-5.984,-5.915,0.067,0.092,0.074,0.089,0.074,-5.953,0.012,0.067,0.085,-5.901,0.052,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.504,2.564,2.449,2.440,2.404,2.444,2.352,2.350,RawDownGT,2.190,2.186,1.926,1.860,2.437,2.484,2.625,2.120,2.675,2.686,2.685,2.155,2.698,2.190,2.708,2.713,2.711,2.202,
20181103-154453,20181103-154539,NG,|下表面轮廓度 -6.141 超差|,46.64,,A117NoFin,LeftStation,SPC,-10.648,0.121,0.013,-6.141,-0.018,5.285,SPC MIN,-10.648,-10.591,-0.007,-6.141,-0.043,5.137,SPC MAX,-10.448,-10.470,0.005,-5.994,-0.018,5.285,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.648,0.121,0.013,-6.141,-0.018,5.285,SPCMIN,-10.648,-10.591,-0.007,-6.141,-0.043,5.137,SPCMAX,-10.448,-10.470,0.005,-5.994,-0.018,5.285,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.433,-10.483,-10.499,-10.498,-10.356,-10.390,-10.376,-10.380,RawDown,5.366,5.306,5.318,5.302,-5.993,-5.985,-5.917,0.065,0.091,0.073,0.088,0.066,-5.953,0.011,0.066,0.084,-5.903,0.051,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.503,2.563,2.449,2.439,2.401,2.440,2.349,2.349,RawDownGT,2.189,2.176,1.921,1.859,2.436,2.483,2.623,2.118,2.674,2.686,2.684,2.147,2.698,2.189,2.708,2.713,2.709,2.202,
20181103-154542,20181103-154628,NG,|下表面轮廓度 -6.141 超差|,46.52,,A117NoFin,LeftStation,SPC,-10.648,0.118,0.012,-6.141,-0.018,5.285,SPC MIN,-10.648,-10.591,-0.007,-6.141,-0.043,5.137,SPC MAX,-10.450,-10.473,0.005,-5.993,-0.018,5.285,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.648,0.118,0.012,-6.141,-0.018,5.285,SPCMIN,-10.648,-10.591,-0.007,-6.141,-0.043,5.137,SPCMAX,-10.450,-10.473,0.005,-5.993,-0.018,5.285,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.435,-10.484,-10.499,-10.500,-10.358,-10.390,-10.376,-10.381,RawDown,5.365,5.305,5.315,5.301,-5.993,-5.985,-5.916,0.066,0.092,0.074,0.088,0.067,-5.953,0.011,0.067,0.084,-5.903,0.052,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.505,2.564,2.449,2.441,2.403,2.440,2.349,2.349,RawDownGT,2.188,2.175,1.919,1.858,2.436,2.483,2.624,2.119,2.675,2.687,2.684,2.148,2.698,2.189,2.709,2.713,2.709,2.202,
20181103-154635,20181103-154722,NG,|下表面轮廓度 -6.140 超差|,46.50,,A117NoFin,LeftStation,SPC,-10.649,0.121,0.013,-6.140,-0.014,5.281,SPC MIN,-10.649,-10.591,-0.007,-6.140,-0.042,5.137,SPC MAX,-10.451,-10.471,0.006,-5.995,-0.014,5.281,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-10.649,0.121,0.013,-6.140,-0.014,5.281,SPCMIN,-10.649,-10.591,-0.007,-6.140,-0.042,5.137,SPCMAX,-10.451,-10.471,0.006,-5.995,-0.014,5.281,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,-6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.435,-10.484,-10.498,-10.499,-10.358,-10.391,-10.377,-10.382,RawDown,5.366,5.306,5.315,5.302,-5.991,-5.982,-5.915,0.068,0.092,0.074,0.088,0.069,-5.952,0.012,0.067,0.087,-5.901,0.052,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.505,2.564,2.449,2.440,2.403,2.441,2.350,2.351,RawDownGT,2.189,2.175,1.918,1.858,2.438,2.486,2.625,2.121,2.675,2.687,2.684,2.150,2.699,2.190,2.708,2.715,2.711,2.203,
