StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,SPCMIN,SPCMAX,SPEC,,SPC,SPEC,RawUp,RawDown,RawUpSTATUS,RawDownSTATUS,RawUpGT,RawDownGT,
20181101-104637,20181101-104637,NONE,,0.00,GRR TEST START,,,SPC,SPC MIN,SPC MAX,SPEC,,SPC,SPCMIN,SPCMAX,SPEC,RawUp,RawDown,RawUpSTATUS,RawDownSTATUS,RawUpGT,RawDownGT,
20181101-104638,20181101-104638,NONE,,0.00,GRR TEST START,,,SPC,SPC MIN,SPC MAX,SPEC,,SPC,SPCMIN,SPCMAX,SPEC,RawUp,RawDown,RawUpSTATUS,RawDownSTATUS,RawUpGT,RawDownGT,
20181101-104736,20181101-104819,NG,|下表面轮廓度 -6.166 超差|,42.79,,A117WithFin,LeftStation,SPC,-71.657,0.005,-6.166,0.004,5.362,SPC MIN,-71.657,-0.003,-6.166,-0.018,5.115,SPC MAX,-71.312,0.002,-5.936,0.004,5.362,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-71.657,0.005,-6.166,0.004,5.362,SPCMIN,-71.657,-0.003,-6.166,-0.018,5.115,SPCMAX,-71.312,0.002,-5.936,0.004,5.362,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.317,-71.581,-71.476,-71.395,-71.426,-71.510,-71.460,-71.412,RawDown,5.365,5.332,5.276,5.183,-6.107,-6.023,-5.954,0.017,0.030,0.033,0.042,0.042,-5.935,0.019,0.026,0.024,-5.921,0.016,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.312,2.593,2.381,2.282,2.411,2.502,2.377,2.322,RawDownGT,2.223,2.223,1.903,1.776,2.475,2.588,2.733,2.103,2.761,2.792,2.783,2.148,2.857,2.221,2.812,2.800,2.842,2.198,
20181101-105002,20181101-105045,NG,|下表面轮廓度 -6.201 超差|,42.95,,A117WithFin,LeftStation,SPC,-71.695,0.005,-6.201,-0.015,5.307,SPC MIN,-71.695,-0.002,-6.201,-0.050,5.025,SPC MAX,-71.211,0.002,-5.985,-0.015,5.307,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-71.695,0.005,-6.201,-0.015,5.307,SPCMIN,-71.695,-0.002,-6.201,-0.050,5.025,SPCMAX,-71.211,0.002,-5.985,-0.015,5.307,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.215,-71.606,-71.574,-71.215,-71.355,-71.492,-71.419,-71.294,RawDown,5.345,5.306,5.165,5.111,-6.124,-6.072,-5.949,0.005,0.041,0.034,0.031,0.003,-5.977,-0.004,0.021,0.040,-5.955,0.028,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.210,2.618,2.478,2.102,2.339,2.484,2.336,2.204,RawDownGT,2.203,2.197,1.792,1.705,2.458,2.539,2.738,2.091,2.773,2.793,2.772,2.109,2.815,2.199,2.807,2.817,2.808,2.211,
20181101-105105,20181101-105148,NG,|上表面轮廓度 -71.756 超差|下表面轮廓度 -6.162 超差|,42.99,,A117WithFin,LeftStation,SPC,-71.756,0.004,-6.162,0.000,5.294,SPC MIN,-71.756,-0.002,-6.162,-0.038,5.027,SPC MAX,-71.398,0.002,-5.997,0.000,5.294,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-71.756,0.004,-6.162,0.000,5.294,SPCMIN,-71.756,-0.002,-6.162,-0.038,5.027,SPCMAX,-71.398,0.002,-5.997,0.000,5.294,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.344,-71.512,-71.602,-71.411,-71.398,-71.468,-71.456,-71.391,RawDown,5.361,5.334,5.169,5.210,-6.006,-6.034,-5.892,0.064,0.089,0.077,0.086,0.091,-5.940,0.044,0.068,0.076,-5.926,0.051,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.339,2.524,2.506,2.298,2.382,2.460,2.373,2.301,RawDownGT,2.219,2.225,1.797,1.804,2.575,2.578,2.795,2.150,2.821,2.836,2.827,2.197,2.852,2.247,2.854,2.852,2.837,2.234,
20181101-105209,20181101-105252,NG,|下表面轮廓度 -6.100 超差|,43.41,,A117WithFin,LeftStation,SPC,-71.630,0.004,-6.100,0.018,5.349,SPC MIN,-71.630,-0.002,-6.100,-0.019,5.128,SPC MAX,-71.347,0.002,-5.927,0.018,5.349,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-71.630,0.004,-6.100,0.018,5.349,SPCMIN,-71.630,-0.002,-6.100,-0.019,5.128,SPCMAX,-71.347,0.002,-5.927,0.018,5.349,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.352,-71.508,-71.530,-71.406,-71.408,-71.480,-71.497,-71.434,RawDown,5.353,5.311,5.220,5.215,-5.989,-6.021,-5.935,0.026,0.032,0.026,0.038,0.027,-5.972,0.004,0.024,0.022,-5.911,0.029,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.347,2.520,2.434,2.293,2.393,2.472,2.414,2.344,RawDownGT,2.210,2.202,1.847,1.808,2.593,2.590,2.752,2.112,2.763,2.785,2.779,2.133,2.821,2.207,2.810,2.798,2.852,2.211,
20181101-105316,20181101-105359,NG,|上表面轮廓度 -71.742 超差|下表面轮廓度 -6.136 超差|,43.37,,A117WithFin,LeftStation,SPC,-71.742,0.002,-6.136,-0.005,5.305,SPC MIN,-71.742,-0.001,-6.136,-0.041,5.051,SPC MAX,-71.319,0.001,-5.962,-0.005,5.305,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-71.742,0.002,-6.136,-0.005,5.305,SPCMIN,-71.742,-0.001,-6.136,-0.041,5.051,SPCMAX,-71.319,0.001,-5.962,-0.005,5.305,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.264,-71.637,-71.540,-71.441,-71.429,-71.533,-71.507,-71.445,RawDown,5.366,5.266,5.235,5.152,-6.044,-6.014,-5.924,0.030,0.059,0.052,0.051,0.015,-5.957,-0.006,0.043,0.055,-5.898,0.051,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.259,2.650,2.444,2.328,2.414,2.525,2.424,2.355,RawDownGT,2.224,2.157,1.862,1.745,2.538,2.597,2.763,2.116,2.791,2.811,2.792,2.121,2.836,2.196,2.829,2.831,2.865,2.233,
20181101-105418,20181101-105501,NG,|上表面轮廓度 -71.799 超差|下表面轮廓度 -6.228 超差|,43.35,,A117WithFin,LeftStation,SPC,-71.799,0.004,-6.228,0.006,5.351,SPC MIN,-71.799,-0.002,-6.228,-0.069,4.983,SPC MAX,-71.172,0.002,-5.992,0.006,5.351,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-71.799,0.004,-6.228,0.006,5.351,SPCMIN,-71.799,-0.002,-6.228,-0.069,4.983,SPCMAX,-71.172,0.002,-5.992,0.006,5.351,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.229,-71.729,-71.539,-71.108,-71.390,-71.589,-71.490,-71.328,RawDown,5.368,5.324,5.221,5.047,-6.168,-6.020,-5.962,-0.021,0.050,0.058,0.067,0.025,-5.943,0.028,0.057,0.044,-5.965,0.037,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.224,2.741,2.443,1.995,2.375,2.581,2.407,2.238,RawDownGT,2.225,2.216,1.849,1.640,2.414,2.592,2.725,2.065,2.781,2.817,2.808,2.131,2.849,2.230,2.843,2.821,2.798,2.219,
20181101-105517,20181101-105601,NG,|下表面轮廓度 -6.202 超差|,43.29,,A117WithFin,LeftStation,SPC,-71.675,0.005,-6.202,-0.028,5.311,SPC MIN,-71.675,-0.002,-6.202,-0.073,5.054,SPC MAX,-71.241,0.003,-5.989,-0.028,5.311,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-71.675,0.005,-6.202,-0.028,5.311,SPCMIN,-71.675,-0.002,-6.202,-0.073,5.054,SPCMAX,-71.241,0.003,-5.989,-0.028,5.311,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.167,-71.565,-71.524,-71.319,-71.376,-71.489,-71.431,-71.361,RawDown,5.387,5.329,5.203,5.160,-6.099,-6.046,-5.917,0.039,0.096,0.100,0.111,0.044,-5.904,0.042,0.101,0.096,-5.906,0.057,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.162,2.578,2.429,2.206,2.360,2.481,2.348,2.271,RawDownGT,2.245,2.221,1.830,1.753,2.483,2.565,2.770,2.125,2.827,2.859,2.852,2.150,2.889,2.244,2.887,2.873,2.857,2.240,
20181101-105619,20181101-105702,NG,|下表面轮廓度 -6.108 超差|,43.21,,A117WithFin,LeftStation,SPC,-71.617,0.008,-6.108,-0.021,5.285,SPC MIN,-71.617,-0.004,-6.108,-0.043,5.141,SPC MAX,-71.416,0.004,-5.993,-0.021,5.285,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-71.617,0.008,-6.108,-0.021,5.285,SPCMIN,-71.617,-0.004,-6.108,-0.043,5.141,SPCMAX,-71.416,0.004,-5.993,-0.021,5.285,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.348,-71.613,-71.602,-71.405,-71.418,-71.523,-71.538,-71.446,RawDown,5.346,5.290,5.170,5.152,-6.090,-6.048,-5.967,-0.003,0.035,0.039,0.038,0.000,-5.964,0.001,0.038,0.052,-5.941,0.034,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.343,2.625,2.506,2.292,2.402,2.515,2.455,2.356,RawDownGT,2.203,2.181,1.797,1.746,2.492,2.564,2.720,2.083,2.766,2.798,2.779,2.106,2.828,2.204,2.824,2.828,2.822,2.217,
20181101-105726,20181101-105810,NG,|下表面轮廓度 -6.124 超差|,43.40,,A117WithFin,LeftStation,SPC,-71.658,0.007,-6.124,-0.009,5.305,SPC MIN,-71.658,-0.003,-6.124,-0.043,5.091,SPC MAX,-71.371,0.004,-5.969,-0.009,5.305,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-71.658,0.007,-6.124,-0.009,5.305,SPCMIN,-71.658,-0.003,-6.124,-0.043,5.091,SPCMAX,-71.371,0.004,-5.969,-0.009,5.305,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.355,-71.567,-71.567,-71.383,-71.436,-71.518,-71.522,-71.449,RawDown,5.327,5.304,5.185,5.175,-6.051,-6.040,-5.944,0.000,0.031,0.021,0.030,0.016,-5.969,-0.002,0.014,0.027,-5.938,0.007,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.350,2.580,2.472,2.270,2.420,2.510,2.439,2.359,RawDownGT,2.185,2.195,1.812,1.768,2.530,2.572,2.743,2.086,2.762,2.780,2.771,2.122,2.823,2.200,2.800,2.804,2.825,2.189,
20181101-105829,20181101-105912,NG,|上表面轮廓度 -71.744 超差|下表面轮廓度 -6.155 超差|,43.35,,A117WithFin,LeftStation,SPC,-71.744,0.005,-6.155,-0.004,5.318,SPC MIN,-71.744,-0.003,-6.155,-0.053,5.059,SPC MAX,-71.396,0.002,-5.963,-0.004,5.318,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,,SPC,-71.744,0.005,-6.155,-0.004,5.318,SPCMIN,-71.744,-0.003,-6.155,-0.053,5.059,SPCMAX,-71.396,0.002,-5.963,-0.004,5.318,SPEC,-71.50,0.200,-0.20,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-71.363,-71.614,-71.590,-71.394,-71.427,-71.523,-71.517,-71.430,RawDown,5.378,5.320,5.173,5.182,-6.045,-6.043,-5.920,0.022,0.063,0.051,0.045,0.009,-5.940,0.014,0.038,0.048,-5.912,0.048,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,2.358,2.627,2.495,2.281,2.411,2.515,2.434,2.340,RawDownGT,2.235,2.212,1.801,1.775,2.536,2.568,2.767,2.108,2.794,2.810,2.786,2.115,2.852,2.216,2.824,2.825,2.851,2.230,
