20180806-094052,20180806-094125,NG,,33.07,F6R825600CCK93W9M,A117WithFin,LeftStation,0.149,0.01,70.697,0.117,RawUp,2.705,3.254,3.341,3.054,2.87,3.088,3.156,3.004,RawDown,2.908,2.971,2.923,2.86,2.906,2.68,2.941,2.674,2.492
20180806-094138,20180806-094211,NG,,32.99,F6R825600AEK93W9R,A117WithFin,LeftStation,0.316,0.023,70.899,0.201,RawUp,2.623,3.476,3.272,2.955,2.881,3.2,3.245,3.132,RawDown,2.849,2.963,2.754,2.613,2.812,2.756,2.926,2.683,2.231
20180806-094248,20180806-094321,NG,,32.99,F6R825600FHK93W97,A117WithFin,LeftStation,0.214,0.024,70.69,0.214,RawUp,2.724,3.187,3.295,2.745,3.036,3.219,3.125,2.867,RawDown,2.685,2.795,2.958,2.864,2.846,2.298,2.629,2.705,2.528
20180806-094334,20180806-094407,OK,,33.03,F6R82240186K93W9F,A117WithFin,LeftStation,0.05,0.012,70.646,0.08,RawUp,2.863,3.299,3.447,3.036,3.019,3.193,3.254,3.077,RawDown,2.889,2.968,2.881,2.826,2.892,2.695,2.916,2.712,2.48
20180806-094422,20180806-094455,OK,,33.04,f6r825600esk93w91,A117WithFin,LeftStation,0.101,0.065,70.767,0.081,RawUp,2.692,3.184,3.233,2.927,2.887,3.077,3.131,2.96,RawDown,2.899,2.847,2.757,2.829,2.894,2.729,2.722,2.558,2.532
20180806-094505,20180806-094538,NG,,33.01,F6R8224015LK93W9A,A117WithFin,LeftStation,0.105,0.004,70.39,0.21,RawUp,2.827,3.2,3.26,2.701,2.953,3.093,3.077,2.91,RawDown,2.783,2.859,2.839,2.761,2.807,2.633,2.916,2.839,2.572
20180806-094554,20180806-094627,OK,,32.99,,A117WithFin,LeftStation,0.095,0.007,70.684,0.066,RawUp,2.854,3.218,3.322,2.81,2.979,3.145,3.171,3.021,RawDown,2.902,2.959,2.876,2.834,2.896,2.666,2.885,2.667,2.53
20180806-094635,20180806-094708,OK,,32.99,f6r82240151k93w9v,A117WithFin,LeftStation,0.126,0.009,70.651,0.093,RawUp,2.908,3.197,3.386,2.893,3.063,3.175,3.208,3.034,RawDown,2.875,2.914,2.883,2.83,2.881,2.647,2.795,2.767,2.56
20180806-094722,20180806-094755,OK,,33.01,F6R822400UWK93W90,A117WithFin,LeftStation,0.26,0.04,70.735,0.098,RawUp,2.792,3.155,3.352,2.688,3.056,3.154,3.073,2.852,RawDown,2.836,2.89,2.952,2.956,2.934,2.592,2.722,2.852,2.676
20180806-094803,20180806-094836,OK,,32.99,F6R822400ASK93W9Q,A117WithFin,LeftStation,0.167,0.034,70.592,0.092,RawUp,2.591,3.233,3.341,2.827,2.843,3.106,3.27,3.051,RawDown,2.822,2.888,2.651,2.641,2.771,2.747,2.829,2.442,2.361
