StartTime,FinishTime,Status,Error,CT,Barcode,ProductType,Description,SPC,K-fin up surface profile,L-fin up surface parallelism,J-pedestal flatness,M-vc down surface profile,O-inner standoff profile,N-outer standoff profile,SPEC,SPEC-K,UpLimit-K,DownLimit-K,SPEC-L,UpLimit-L,DownLimit-L,SPEC-J,UpLimit-J,DownLimit-J,SPEC-M,UpLimit-M,DownLimit-M,SPEC-O,UpLimit-O,DownLimit-O,SPEC-N,UpLimit-N,DownLimit-N,RawUp,up,up,up,up,up,up,up,up,RawDown,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,RawUpSTATUS,up,up,up,up,up,up,up,up,RawDownSTATUS,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,RawUpGT,up,up,up,up,up,up,up,up,RawDownGT,ped1,ped1,ped1,ped1,ped1,inner,inner,inner,inner,down,down,down,down,down,outer,outer,outer,outer,
20180919-143105,20180919-143149,NG,|上表面轮廓度 -10.268 超差|下表面轮廓度 -6.082 超差|外螺柱轮廓度 2.688 超差|,43.13,,A117NoFin,RightStation,SPC,-10.268,0.251,0.011,-6.082,-0.088,2.688,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.560,-10.374,-10.313,-10.458,-10.448,-10.434,-10.389,-10.399,RawDown,-0.024,0.012,-0.010,-0.024,-0.008,-0.113,-0.059,0.056,0.011,-6.126,-6.040,-6.075,-6.133,-6.021,2.647,2.870,2.989,2.765,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.885,1.844,1.775,1.775,1.805,1.865,1.815,1.751,RawDownGT,2.535,2.538,2.477,2.496,2.514,2.634,2.618,2.651,2.677,2.463,2.450,2.261,2.302,2.441,0.099,0.099,0.098,0.098,
20180919-143301,20180919-143344,NG,|上表面轮廓度 -10.983 超差|上表面平行度 0.589 超差|下表面轮廓度 -6.479 超差|外螺柱轮廓度 2.411 超差|,43.12,,A117NoFin,RightStation,SPC,-10.983,0.589,0.023,-6.479,-0.084,2.411,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.426,-10.463,-10.538,-10.461,-10.331,-10.252,-10.235,-10.298,RawDown,0.057,0.059,0.130,0.141,0.116,-0.045,-0.028,0.116,0.104,-5.997,-5.985,-6.105,-6.027,-5.872,2.646,2.870,2.989,2.765,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.751,1.933,2.000,1.777,1.688,1.683,1.661,1.649,RawDownGT,2.615,2.584,2.617,2.662,2.638,2.702,2.649,2.711,2.770,2.592,2.504,2.231,2.408,2.590,0.099,0.099,0.099,0.099,
20180919-143413,20180919-143456,NG,|上表面轮廓度 -10.228 超差|上表面平行度 0.272 超差|凸台平面度 0.135 超差|下表面轮廓度 -6.035 超差|外螺柱轮廓度 2.677 超差|,43.13,,A117NoFin,RightStation,SPC,-10.228,0.272,0.135,-6.035,-0.082,2.677,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.529,-10.487,-10.538,-10.477,-10.433,-10.426,-10.368,-10.386,RawDown,-0.081,-0.060,-0.107,-0.091,0.040,-0.116,-0.084,-0.013,-0.033,-6.090,-6.035,-6.119,-6.121,-6.042,2.647,2.870,2.989,2.766,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.854,1.957,2.000,1.794,1.790,1.857,1.794,1.738,RawDownGT,2.478,2.466,2.380,2.429,2.563,2.632,2.593,2.582,2.633,2.499,2.455,2.216,2.314,2.420,0.100,0.099,0.098,0.099,
20180919-143514,20180919-143557,NG,|下表面轮廓度 -6.150 超差|外螺柱轮廓度 2.720 超差|,43.13,,A117NoFin,RightStation,SPC,-10.319,0.197,0.010,-6.150,-0.076,2.720,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.503,-10.559,-10.336,-10.496,-10.432,-10.432,-10.364,-10.415,RawDown,-0.062,-0.054,-0.050,-0.056,-0.047,-0.129,-0.127,-0.028,-0.024,-6.053,-6.038,-6.065,-6.196,-6.031,2.647,2.870,2.989,2.765,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.828,2.029,1.798,1.813,1.789,1.863,1.790,1.766,RawDownGT,2.496,2.472,2.437,2.465,2.476,2.618,2.550,2.567,2.641,2.536,2.452,2.271,2.239,2.431,0.099,0.099,0.099,0.098,
20180919-143630,20180919-143714,NG,|下表面轮廓度 -6.163 超差|外螺柱轮廓度 2.791 超差|,43.13,,A117NoFin,RightStation,SPC,-10.326,0.217,0.015,-6.163,0.121,2.791,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.525,-10.387,-10.469,-10.466,-10.439,-10.399,-10.382,-10.385,RawDown,-0.101,-0.063,-0.047,-0.083,-0.059,-0.116,-0.079,0.079,0.029,-6.089,-6.014,-6.116,-6.093,-5.956,2.647,2.870,2.989,2.765,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.850,1.857,1.931,1.783,1.796,1.830,1.808,1.737,RawDownGT,2.458,2.463,2.441,2.437,2.464,2.631,2.598,2.674,2.695,2.500,2.475,2.220,2.342,2.506,0.099,0.099,0.099,0.099,
20180919-143739,20180919-143822,NG,|下表面轮廓度 -6.161 超差|内螺柱轮廓度 -0.198 超差|外螺柱轮廓度 2.535 超差|,43.09,,A117NoFin,RightStation,SPC,-10.345,0.228,0.011,-6.161,-0.198,2.535,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.461,-10.401,-10.341,-10.424,-10.348,-10.310,-10.288,-10.359,RawDown,0.080,0.069,0.060,0.090,0.081,-0.102,-0.094,0.028,0.030,-6.041,-6.029,-6.016,-6.051,-5.944,2.647,2.870,2.989,2.765,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.786,1.871,1.803,1.740,1.704,1.741,1.714,1.711,RawDownGT,2.639,2.594,2.548,2.610,2.603,2.646,2.583,2.623,2.696,2.548,2.461,2.319,2.384,2.518,0.099,0.099,0.099,0.098,
20180919-143849,20180919-143933,NG,|上表面轮廓度 -10.217 超差|上表面平行度 0.296 超差|下表面轮廓度 -6.176 超差|外螺柱轮廓度 2.733 超差|,43.10,,A117NoFin,RightStation,SPC,-10.217,0.296,0.004,-6.176,-0.078,2.733,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.414,-10.672,-10.265,-10.438,-10.469,-10.525,-10.371,-10.412,RawDown,-0.058,-0.023,-0.040,-0.067,-0.048,-0.085,-0.079,-0.070,-0.126,-6.089,-6.051,-6.067,-6.314,-6.088,2.647,2.870,2.989,2.765,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.739,2.142,1.727,1.754,1.826,1.956,1.797,1.763,RawDownGT,2.500,2.502,2.447,2.454,2.474,2.663,2.598,2.525,2.539,2.500,2.438,2.268,2.121,2.374,0.099,0.099,0.098,0.098,
20180919-144044,20180919-144127,NG,|下表面轮廓度 -6.205 超差|外螺柱轮廓度 2.596 超差|,43.13,,A117NoFin,RightStation,SPC,-10.597,0.175,0.016,-6.205,-0.145,2.596,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.441,-10.403,-10.360,-10.458,-10.354,-10.321,-10.279,-10.308,RawDown,0.090,0.086,0.124,0.100,0.109,-0.056,-0.058,0.030,0.002,-5.990,-5.989,-5.995,-6.030,-5.915,2.647,2.870,2.989,2.765,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.766,1.873,1.822,1.775,1.710,1.752,1.705,1.660,RawDownGT,2.648,2.612,2.612,2.621,2.631,2.691,2.619,2.625,2.667,2.599,2.500,2.340,2.405,2.547,0.099,0.099,0.098,0.099,
20180919-144200,20180919-144243,NG,|凸台平面度 0.053 超差|下表面轮廓度 -6.049 超差|外螺柱轮廓度 2.741 超差|,43.10,,A117NoFin,RightStation,SPC,-10.329,0.151,0.053,-6.049,0.017,2.741,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.423,-10.444,-10.438,-10.436,-10.401,-10.412,-10.361,-10.394,RawDown,-0.080,-0.055,-0.053,-0.052,-0.013,-0.063,-0.048,-0.026,-0.059,-6.060,-6.044,-6.026,-6.047,-6.007,2.647,2.870,2.989,2.765,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.748,1.914,1.900,1.753,1.758,1.843,1.787,1.746,RawDownGT,2.479,2.471,2.435,2.468,2.509,2.684,2.629,2.569,2.606,2.529,2.446,2.310,2.388,2.455,0.099,0.099,0.098,0.098,
20180919-144331,20180919-144414,NG,|上表面轮廓度 -9.944 超差|上表面平行度 0.544 超差|下表面轮廓度 -6.041 超差|外螺柱轮廓度 2.616 超差|,43.29,,A117NoFin,RightStation,SPC,-9.944,0.544,0.025,-6.041,0.133,2.616,SPEC,-10.50,0.200,-0.20,0.00,0.260,0.00,0.00,0.040,0.00,6.00,0.100,-0.10,0.00,0.150,-0.15,5.33,0.150,-0.15,RawUp,-10.457,-10.339,-10.310,-10.444,-10.446,-10.371,-10.320,-10.446,RawDown,-0.046,-0.043,-0.120,-0.085,-0.089,-0.107,-0.073,-0.023,-0.052,-6.068,-6.066,-6.057,-6.105,-6.041,2.647,2.870,2.989,2.765,RawUpSTATUS,False,False,False,False,False,False,False,False,RawDownSTATUS,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,RawUpGT,1.782,1.809,1.772,1.760,1.802,1.802,1.746,1.797,RawDownGT,2.513,2.483,2.367,2.436,2.434,2.640,2.604,2.572,2.614,2.521,2.423,2.279,2.330,2.421,0.099,0.099,0.098,0.098,
